id_pedido,data_pedido,status_pedido,valor_total,cpf_cnpj
1,2026-02-08,Em transporte1,225.23,49163208598
2,2026-01-28,Em transporte1,425.25,92531840605
3,2025-09-21,Processando1,418.85,94085367110
4,2025-08-01,Cancelado1,49.63,91740825314
5,2025-03-07,Cancelado1,563.69,1762398559
6,2025-11-16,Processando,490.47,91348267500
7,2025-12-09,Processando,135.12,50186749384
8,2025-10-14,Em transporte,143.91,63081794269
9,2025-12-22,Entregue,300.8,42917506849
10,2026-02-15,Em transporte,261.1,13826947509
11,2025-11-25,Em transporte,462.01,23918764087
12,2025-03-24,Processando,140.42,45731608920
13,2025-10-17,Processando,590.12,26493875056
14,2025-09-22,Entregue,530.68,89047356292
15,2025-07-22,Em transporte,278.02,67524193025
16,2025-06-25,Em transporte,687.4,18230647950
17,2025-09-14,Cancelado,686.7,2345871644
18,2025-03-26,Em transporte,358.18,1293687502
19,2025-11-10,Entregue,184.73,47183902650
20,2025-10-04,Cancelado,319.61,94085367110
21,2025-03-07,Cancelado,446.98,26395780140
22,2025-02-27,Cancelado,73.24,37528104671
23,2025-05-21,Entregue,87.25,67824091511
24,2026-01-18,Processando,345.59,82513076435
25,2025-12-29,Entregue,231.02,35894620198
26,2025-10-05,Processando,308.61,13809274631
27,2026-02-13,Cancelado,68.59,29463705856
28,2026-01-16,Cancelado,12.98,86075234900
29,2025-11-20,Em transporte,15.04,5724381923
30,2025-11-28,Entregue,280.02,3714956280
31,2025-05-31,Processando,544.83,61374902896
32,2026-02-01,Em transporte,567.42,62714809340
33,2025-10-21,Processando,473.24,71625439873
34,2026-02-03,Cancelado,50.1,45271938050
35,2025-09-29,Em transporte,403.4,2164987594
36,2025-09-10,Cancelado,34.27,57903421670
37,2025-10-04,Cancelado,110.22,17903684213
38,2025-11-10,Em transporte,344.99,81204673535
39,2025-10-19,Em transporte,775.11,2839476592
40,2025-03-21,Entregue,301.04,18260547902
41,2025-10-06,Cancelado,107.59,61274805902
42,2025-04-02,Cancelado,241.47,93607142599
43,2025-12-15,Processando,320.62,2164987594
44,2025-04-06,Cancelado,124.46,23697518437
45,2026-01-20,Cancelado,155.34,32061954898
46,2025-05-12,Cancelado,457.96,84539702629
47,2025-03-13,Em transporte,339.93,86035471900
48,2026-02-16,Entregue,360.27,58913746255
49,2025-12-29,Processando,246.12,48936215728
50,2025-04-16,Cancelado,666.62,96847053100
51,2026-01-20,Processando,209.11,56039482729
52,2025-03-04,Em transporte,309.22,72950814379
53,2025-10-26,Processando,62.29,57140328960
54,2025-08-07,Em transporte,559.22,96025431752
55,2025-08-02,Cancelado,763.99,7653421890
56,2025-07-31,Cancelado,187.52,45271938050
57,2026-01-04,Em transporte,103.22,96045138260
58,2025-12-07,Processando,18.02,46723189078
59,2025-11-29,Cancelado,201.53,67815394000
60,2025-06-25,Em transporte,432.26,43197820622
61,2025-11-19,Em transporte,240.68,10943682533
62,2025-07-14,Processando,745.63,56879342000
63,2025-09-23,Processando,458.85,5478269310
64,2025-11-06,Entregue,422.28,47620381996
65,2026-01-06,Em transporte,33.83,76130829540
66,2025-09-26,Processando,356.25,20567893456
67,2025-08-02,Em transporte,36.05,2164987594
68,2025-03-18,Processando,439.13,28347596182
69,2026-01-23,Processando,466.91,62419503805
70,2025-05-21,Entregue,76.31,79356841209
71,2026-01-05,Processando,673.93,57140328960
72,2025-09-02,Processando,526.51,2536891712
73,2025-07-08,Entregue,112.05,52864139006
74,2025-10-27,Cancelado,822.31,60534798292
75,2025-03-22,Em transporte,614.17,70256814902
76,2025-10-01,Cancelado,179.74,39851764264
77,2025-08-12,Entregue,535.68,96823457155
78,2025-02-28,Cancelado,363.04,50632917830
79,2025-09-15,Cancelado,63.14,6241759876
80,2025-06-10,Cancelado,228.84,81750362902
81,2025-08-27,Cancelado,34.89,89047356292
82,2025-09-06,Em transporte,164.2,17932486564
83,2025-08-19,Entregue,9.69,47183902650
84,2025-05-30,Em transporte,129.39,94852631719
85,2025-09-20,Entregue,152.82,37859460157
86,2026-01-20,Processando,264.83,94530628124
87,2025-08-14,Processando,365.67,52064193898
88,2025-05-31,Entregue,256.2,19730542805
89,2026-01-18,Cancelado,191.05,37128056408
90,2025-12-08,Cancelado,456.09,50798312602
91,2025-07-15,Cancelado,101.99,32680715977
92,2025-07-20,Cancelado,367.27,93605821405
93,2025-11-26,Em transporte,541.89,75610834244
94,2025-04-09,Em transporte,153.78,31248697537
95,2025-09-12,Em transporte,122.14,10294738622
96,2025-10-09,Em transporte,348.18,7653421890
97,2025-09-12,Processando,307.46,17932486564
98,2025-07-04,Entregue,34.29,64297135809
99,2025-09-24,Entregue,205.14,25081693740
100,2025-11-11,Processando,115.97,4381726987
101,2025-09-17,Processando,832.96,58941762049
102,2025-03-25,Em transporte,104.54,67921485049
103,2025-06-20,Entregue,37.74,74206918350
104,2025-06-09,Cancelado,41.72,64051937801
105,2025-05-24,Entregue,184.32,84025361744
106,2026-01-19,Entregue,25.46,5724381923
107,2026-02-24,Entregue,558.39,29317645828
108,2025-10-10,Processando,369.28,43027896113
109,2025-06-14,Em transporte,596.69,96823457155
110,2025-05-11,Cancelado,254.93,89623471564
111,2025-05-22,Processando,415.82,18927563077
112,2025-12-27,Processando,160.68,85210347680
113,2026-01-01,Processando,386.34,49687023538
114,2025-12-10,Processando,161.13,5478269310
115,2026-01-28,Cancelado,255.4,18245360970
116,2025-11-20,Em transporte,437.79,69147205334
117,2025-02-28,Entregue,66.94,30546819206
118,2025-05-13,Processando,33.02,97306284169
119,2025-11-22,Entregue,779.6,23891054670
120,2025-04-20,Processando,67.05,94381570693
121,2025-11-09,Processando,744.48,96403785265
122,2025-06-07,Entregue,486.09,83201457914
123,2025-04-06,Entregue,16.48,91372805460
124,2025-03-23,Entregue,33.76,17932486564
125,2026-01-04,Processando,10.49,2345871644
126,2025-03-08,Em transporte,3.29,36908412750
127,2026-01-28,Em transporte,59.08,25631847035
128,2025-08-23,Cancelado,285.22,97306284169
129,2025-09-09,Cancelado,374.11,60239158768
130,2025-05-04,Processando,58.91,30546819206
131,2025-11-03,Entregue,387.23,57903421670
132,2025-04-03,Cancelado,297.45,42038651744
133,2026-02-22,Cancelado,340.33,51240967306
134,2025-06-23,Em transporte,256.4,6534187957
135,2025-12-12,Processando,485.59,34879260592
136,2025-06-09,Cancelado,72.45,36428709104
137,2025-08-15,Cancelado,45.06,74238956109
138,2025-08-17,Em transporte,64.32,42038651744
139,2025-08-20,Processando,267.97,64051937801
140,2025-10-04,Entregue,253.64,47521038690
141,2025-09-10,Processando,865.72,17932486564
142,2025-08-17,Processando,181.94,68275301912
143,2026-01-20,Cancelado,416.16,37859460157
144,2025-09-26,Cancelado,66.34,6758923410
145,2025-09-28,Cancelado,318.39,67154308966
146,2026-02-11,Em transporte,301.84,86194537264
147,2025-12-04,Processando,407.33,46723189078
148,2026-02-10,Em transporte,683.72,91530682460
149,2025-03-08,Entregue,55.99,2487615958
150,2025-05-06,Entregue,273.06,23049716878
151,2025-06-14,Cancelado,517.9,62783945100
152,2026-01-04,Em transporte,496.6,67921485049
153,2025-11-27,Entregue,654.12,6751983484
154,2025-05-20,Cancelado,167.27,16043285762
155,2025-05-07,Entregue,425.94,5187926411
156,2025-05-03,Processando,523.14,47521038690
157,2025-05-01,Processando,40.42,36092857103
158,2025-08-02,Processando,174.43,38251476062
159,2025-04-18,Entregue,783.26,37128056408
160,2025-12-23,Processando,452.56,13276509830
161,2026-01-16,Processando,526.39,82396754173
162,2026-02-21,Em transporte,127.88,92348017687
